"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @princessadoram: Hombres que no saben distinguir entre #machismo y #feminismo y te dicen que ""te lo hagas ver"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/RnvxJ8Fj…",FALSE,0,NA,2018-01-02 00:01:24,FALSE,NA,"947981112311205889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Virgginni",17,TRUE,FALSE,NA,NA
"19","RT @angelonestore: No queremos que el 2017 sea ""el año"" del #feminismo, queremos que los feminismos calen en la sociedad y formen parte de…",FALSE,0,NA,2018-01-02 00:00:43,FALSE,NA,"947980941200384000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mluisa13",13,TRUE,FALSE,NA,NA
"20","La Pedroche se puede poner lo que le da la gana .eso es libertad de decisión y eso es #feminismo se ponga eso o una… https://t.co/GOzAcxLswY",FALSE,0,NA,2018-01-01 23:54:47,TRUE,NA,"947979446702702592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salvarenfe",0,FALSE,FALSE,NA,NA
"21","No queremos vencer al patriarcado con sus propias reglas. Queremos unas nuevas. Muy recomendable esto de… https://t.co/rP3PyipAfp",FALSE,3,NA,2018-01-01 23:51:00,TRUE,NA,"947978495459823617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MartaJaenes",2,FALSE,FALSE,NA,NA
"22","RT @princessadoram: Más de #300 mujeres de #Hollywood lanzaron plan contra el #acososexual. #feminismo #MeToo #feminismo #abusosexual https…",FALSE,0,NA,2018-01-01 23:46:01,FALSE,NA,"947977239689416704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Virgginni",13,TRUE,FALSE,NA,NA
"23","RT @ErnestoBartlett: El #feminismo es plantarle cara a los infrahumanos como éstos, no ir medio en pelotas a lucir palmito por un pastizal…",FALSE,0,NA,2018-01-01 23:40:56,FALSE,NA,"947975960950902786",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caparrones",2,TRUE,FALSE,NA,NA
"24","RT @ErnestoBartlett: El #feminismo es plantarle cara a los infrahumanos como éstos, no ir medio en pelotas a lucir palmito por un pastizal…",FALSE,0,NA,2018-01-01 23:37:57,FALSE,NA,"947975212703846402",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","LaDiferencial",2,TRUE,FALSE,NA,NA
"25","El #feminismo es plantarle cara a los infrahumanos como éstos, no ir medio en pelotas a lucir palmito por un pastiz… https://t.co/UgpTz1i8Bi",FALSE,3,NA,2018-01-01 23:35:33,TRUE,NA,"947974607994318849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErnestoBartlett",2,FALSE,FALSE,NA,NA
"26","#Metoo y el año en que todo empezó a cambiar por @AntoEstevez 
Lee su columna llena de poder en:… https://t.co/uml3TLgKa1",FALSE,1,NA,2018-01-01 23:30:07,TRUE,NA,"947973240940580864",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Radiodementecl",0,FALSE,FALSE,NA,NA
"27","RT @Eres_Una_Caca: Y si en estas navidades no hicieras nada? Igualdad o nada. Se acabó la navidad machista. #eresunacaca #feminismo #caca #…",FALSE,0,NA,2018-01-01 23:24:40,FALSE,NA,"947971866932719616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__nympha",110,TRUE,FALSE,NA,NA
"28","RT @PaulaVazquezTV: Hablando de #Feminismo,me acabo de dar un atracón con el docu de @cero @MovistarPlus : 
Bombshell La Historia de Hedy L…",FALSE,0,NA,2018-01-01 23:19:40,FALSE,NA,"947970608595460096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","celia22975",3,TRUE,FALSE,NA,NA
"29","Tres cosas por las que #Pedroche NO representa al #feminismo:
- Alimenta estereotipos patriarcales de cuerpo-mujer-… https://t.co/S9jR5GI1MZ",FALSE,0,NA,2018-01-01 23:16:03,TRUE,NA,"947969700008521728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","acaramelizado",0,FALSE,FALSE,NA,NA
"30","Es lo que tiene el #Feminismo, así, sin más, sin clase...
La lucha por la liberación de la mujer trabajadora si que… https://t.co/3Lu8g1mJo7",FALSE,0,NA,2018-01-01 23:14:17,TRUE,NA,"947969254166589441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LalaCaLo",0,FALSE,FALSE,NA,NA
"31","Soy tan #feminista que ya no tengo prejuicios cuando leo un libro escrito por una mujer #feminismo #feminism",FALSE,1,NA,2018-01-01 22:40:11,FALSE,NA,"947960673618706432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","el_keogh",0,FALSE,FALSE,NA,NA
"32","Anna Muzychuk pone en jaque al machismo saudí: su renuncia a defender sus dos títulos en los campeonatos mundiales… https://t.co/IFBEe6RYRZ",FALSE,1,NA,2018-01-01 22:39:31,TRUE,NA,"947960505628491777",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pablodesouzasan",0,FALSE,FALSE,NA,NA
"33","RT @angelonestore: No queremos que el 2017 sea ""el año"" del #feminismo, queremos que los feminismos calen en la sociedad y formen parte de…",FALSE,0,NA,2018-01-01 22:34:55,FALSE,NA,"947959349716144128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DONALQUILER",13,TRUE,FALSE,NA,NA
"34","Invisibilizar el sexo+universalizar el género= destruir el feminismo #ViolenciaContraLaMujer #Feminismo #Género… https://t.co/y24OyAZ2N4",FALSE,0,NA,2018-01-01 22:22:11,TRUE,NA,"947956141874655241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dc_testimony",0,FALSE,FALSE,NA,NA
"35","RT @MasTwitts: El #feminismo como yo lo entiendo. Leído gracias a @SDciencia https://t.co/fNxm3wXAUN",FALSE,0,NA,2018-01-01 22:17:14,FALSE,NA,"947954898771021829",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Roser_uf",19,TRUE,FALSE,NA,NA
"36","La gente no entiende lo que es el #feminismo cuando critica a #pedroche por ponerse ese vestido en las… https://t.co/LeXMPsrDys",FALSE,1,NA,2018-01-01 22:08:29,TRUE,NA,"947952695641542656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Miss_Pinterest",0,FALSE,FALSE,NA,NA
"37","No olvidemos este año los 98 feminicidios y asesinatos de mujeres en el 2017 https://t.co/e2enm0SbyQ Ni un paso atr… https://t.co/iWD8eeentY",FALSE,31,NA,2018-01-01 21:56:36,TRUE,NA,"947949706071638024",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","lamirada",10,FALSE,FALSE,NA,NA
"38","RT @DoctoraGlas: El #feminismo no es una moda. 
El #feminismo es un compromiso. 
De nada.",FALSE,0,NA,2018-01-01 21:49:59,FALSE,NA,"947948039905345536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WAHburgos",8,TRUE,FALSE,NA,NA
"39","“¿El test de Bechdel está pasado de moda? Creadoras proponen otras alternativas” #cine #series #tv #feminismo https://t.co/MgaRMHI5cd",FALSE,0,NA,2018-01-01 21:44:26,FALSE,NA,"947946642707271680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","aritzcirbian",0,FALSE,FALSE,NA,NA
"40","@abonillag @CristinaSegui_ @PatriciaReyesCs El dogma de fé del feminismo cultural, o apoyas todo lo que este propon… https://t.co/6bJmLF5WFZ",FALSE,0,"abonillag",2018-01-01 21:36:20,TRUE,"947931521259798529","947944605873528834","338554763","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chulitodeplaya",0,FALSE,FALSE,NA,NA
"41","Nos deben al menos un gesto¡¡ ..142 #mujeresparlamentarias es mucho poder q no se puede desaprovechar x visiones pa… https://t.co/HHPvn4X1dF",FALSE,2,NA,2018-01-01 21:26:53,TRUE,NA,"947942225710911488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HOArquitectos",1,FALSE,FALSE,NA,NA
"42","Camille Claudel (Fère-en-Tardenois, 1864-Montdevergues,1943) Además de ser una de las colaboradoras de confianza de… https://t.co/it4Pwb2DRA",FALSE,13,"Javierbaladron",2018-01-01 21:18:04,TRUE,"947111474178285569","947940009293774848","142289047","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Javierbaladron",3,FALSE,FALSE,NA,NA
"43","Muy interesante la entrevista a @AnadeMiguelAl en @el_pais sobre el #feminismo https://t.co/08nKi40BcT",FALSE,0,NA,2018-01-01 21:12:30,FALSE,NA,"947938606001336321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rocio_clemares",0,FALSE,FALSE,NA,NA
"44","RT @ciktricstrans: @anaisbernal @feministaHarta @grunppy Yo hace como 4 años que sólo uso las palabras #Feminismo , discriminación por sexo…",FALSE,0,NA,2018-01-01 21:11:52,FALSE,NA,"947938447561457668",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","grunppy",1,TRUE,FALSE,NA,NA
"45","RT @Carolicen: #WeShouldAllBeFeminists ""Hay que recurrir a ejemplos especificos para que alguien que no ve la importancia del #feminismo pu…",FALSE,0,NA,2018-01-01 21:06:42,FALSE,NA,"947937148476575744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Carolicen",3,TRUE,FALSE,NA,NA
"46","NO, no puedo enseñar a retocar fotos. No, no puedo retocar fotos gratis, y NO, la Pedroche no es feminista, solo un… https://t.co/dbTudFXr1B",FALSE,4,NA,2018-01-01 21:02:26,TRUE,NA,"947936075762356226",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TadzioAutumn",0,FALSE,FALSE,NA,NA
"47","@anaisbernal @feministaHarta @grunppy Yo hace como 4 años que sólo uso las palabras #Feminismo , discriminación por… https://t.co/LGd3ElwzlX",FALSE,3,"anaisbernal",2018-01-01 20:58:52,TRUE,"947934213021536259","947935176046374914","67165437","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ciktricstrans",1,FALSE,FALSE,NA,NA
"48","¿Un deseo para 2018? NO más #machismo. Extended el #FEMINISMO,… https://t.co/QSMRAaueaU",FALSE,1,NA,2018-01-01 20:57:25,FALSE,NA,"947934812496715776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","anabeluni",0,FALSE,FALSE,NA,NA
"49","¿¡¿QUÉ ESTÁN VIENDO MIS OJOS?!?
 No me puedo creer este artículo de @LaVanguardia
El discurso FUE feminista. 
Muy b… https://t.co/9uDFpPqpcY",FALSE,4,NA,2018-01-01 20:51:44,TRUE,NA,"947933382478049280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patricia_ca98",4,FALSE,FALSE,NA,NA
"50","No es lo mismo #género que #sexo que #feminismo https://t.co/xoMfiJrWfd",FALSE,0,NA,2018-01-01 20:50:49,FALSE,NA,"947933151132872705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mcgarduno",0,FALSE,FALSE,NA,NA
"51","Cuentos para niñas rebeldes https://t.co/bfhF6wb2QH #mujer #libros #literatura #empoderamiento #feminismo",FALSE,1,NA,2018-01-01 20:45:51,FALSE,NA,"947931899422486528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","masleer",1,FALSE,FALSE,NA,NA
"52","Como cada año tras las campanadas de @antena3com  el debate en #rrss sobre el vestido de #lapedroche no se hizo esp… https://t.co/gUNfLzzTFI",FALSE,3,NA,2018-01-01 20:45:16,TRUE,NA,"947931754828099585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SevillaMagazine",0,FALSE,FALSE,NA,NA
"53","RT @PereGris: Pues no va y me dice mi prima @ElenaEdc que quiere una sesión de fotos con pelillos...
#feminismo
@pelillosderaton",FALSE,0,NA,2018-01-01 20:43:57,FALSE,NA,"947931421515173889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElenaEdc",1,TRUE,FALSE,NA,NA
"54","RT @princessadoram: Hombres que no saben distinguir entre #machismo y #feminismo y te dicen que ""te lo hagas ver"" <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/RnvxJ8Fj…",FALSE,0,NA,2018-01-01 20:38:24,FALSE,NA,"947930025512357888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuanLlobell",17,TRUE,FALSE,NA,NA
"55","@enfemeninas @mariobernal1975 @LuisSalvador Porque el diario se construye automáticamente gracias a tuits de person… https://t.co/Y7gnEZSafz",FALSE,1,"enfemeninas",2018-01-01 20:36:45,TRUE,"947920574118014977","947929610901221377","963073567","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ciktricstrans",0,FALSE,FALSE,NA,NA
"56","RT @MasTwitts: El #feminismo como yo lo entiendo. Leído gracias a @SDciencia https://t.co/fNxm3wXAUN",FALSE,0,NA,2018-01-01 20:36:34,FALSE,NA,"947929565703352325",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sualcala11",19,TRUE,FALSE,NA,NA
"57","Cristina Pedroche: “Mi vestido es superfeminista”. Perfecta respuesta de @CristiPedroche a las #feministas que quie… https://t.co/Gb8sxZn3S4",FALSE,0,NA,2018-01-01 20:35:01,TRUE,NA,"947929172579667969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseGaHompanera",0,FALSE,FALSE,NA,NA
"58","@el_pais Lo importante es que nadie obliga por lo que veo mas un acto de libertad personal que de #Machismo o… https://t.co/GbMlPk9tOm",FALSE,0,"el_pais",2018-01-01 20:31:23,TRUE,"947748614524325888","947928258909233152","7996082","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carmentopia36",0,FALSE,FALSE,NA,NA
"59","RT @MasTwitts: El #feminismo como yo lo entiendo. Leído gracias a @SDciencia https://t.co/fNxm3wXAUN",FALSE,0,NA,2018-01-01 20:29:37,FALSE,NA,"947927815869038592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","palomamartinr",19,TRUE,FALSE,NA,NA
"60","RT @Ma_Navarroo: Regala #feminismo 
Regala #igualdad

<ed><U+00A0><U+00BC><ed><U+00BE><U+0081><ed><U+00A0><U+00BD><ed><U+00B3><U+009A><ed><U+00A0><U+00BD><ed><U+00B3><U+0096>

#Machismo de @Barbijaputa 
#NiñasRebeldes de @efavilli y @francescavallo https:/…",FALSE,0,NA,2018-01-01 20:25:39,FALSE,NA,"947926818165788672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnaAlvarezRod",8,TRUE,FALSE,NA,NA
"61","Como mujer, sentí asco, bochorno e indignación. Cómplice consentida del machismo más baboso #PedrocheCampanadas. No… https://t.co/zs5OnWBCzx",FALSE,5,NA,2018-01-01 20:24:38,TRUE,NA,"947926563084959744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","albateixi2",2,FALSE,FALSE,NA,NA
"62","Pues no va y me dice mi prima @ElenaEdc que quiere una sesión de fotos con pelillos...
#feminismo
@pelillosderaton",FALSE,2,NA,2018-01-01 20:22:15,FALSE,NA,"947925960967454720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PereGris",1,FALSE,FALSE,NA,NA
"63","<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> Presentación Libro: La #muerte de mi madre me hizo más libre | Qmayor https://t.co/354LzPE6H1 vía @QmayorCalidad… https://t.co/3PEk2GNiNw",FALSE,1,NA,2018-01-01 20:22:00,TRUE,NA,"947925898740817921",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","QmayorMagazine",0,FALSE,FALSE,NA,NA
"64","Como acabaremos con burkas SEGURO es idolatrando la teoría de Genaro y el #feminismo moderno como hacéis vosotros. https://t.co/GhoqFC2GCz",FALSE,2,NA,2018-01-01 20:21:34,FALSE,NA,"947925790452314112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Agnosis9",0,FALSE,FALSE,NA,NA
"65","@DanielDaniDan @Juliowiter Como acabaremos con burkas SEGURO es idolatrando la teoría de Genaro y el #feminismo mod… https://t.co/g2cwmPYGEA",FALSE,1,"DanielDaniDan",2018-01-01 20:21:24,TRUE,"947815983976239104","947925747825561601","263007926","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Agnosis9",0,FALSE,FALSE,NA,NA
"66","¿Sabes qué es el #Feminismo? Descubre más sobre este movimiento https://t.co/YXnXrJcrZ7",FALSE,0,NA,2018-01-01 20:21:02,FALSE,NA,"947925656830058496",NA,"<a href=""http://www.botize.com"" rel=""nofollow"">Botize</a>","CuadraUni",0,FALSE,FALSE,NA,NA
"67","RT @Eres_Una_Caca: Y si en estas navidades no hicieras nada? Igualdad o nada. Se acabó la navidad machista. #eresunacaca #feminismo #caca #…",FALSE,0,NA,2018-01-01 20:20:37,FALSE,NA,"947925550005399553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","serordinario",110,TRUE,FALSE,NA,NA
"68","RT @DoctoraGlas: El #feminismo no es una moda. 
El #feminismo es un compromiso. 
De nada.",FALSE,0,NA,2018-01-01 20:18:17,FALSE,NA,"947924963293646848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pibafeminista",8,TRUE,FALSE,NA,NA
"69","RT @LSeptico: La estupidez del #feminismo https://t.co/SGMqSSASAK",FALSE,0,NA,2018-01-01 20:16:28,FALSE,NA,"947924505162342400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChrisWildEyes",9,TRUE,FALSE,NA,NA
"70","RT @PhotoPressrCg: #2018 Que la fuerza del #Feminismo nos acompañe
<U+270A><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

#Ámate #Ama <U+27A1><U+FE0F>Cambiar ese orden sí que altera el valor <U+2640><U+FE0F> @EUrrutiko…",FALSE,0,NA,2018-01-01 20:15:49,FALSE,NA,"947924344436436993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tereta_1",14,TRUE,FALSE,NA,NA
"71","RT @princessadoram: Más de #300 mujeres de #Hollywood lanzaron plan contra el #acososexual. #feminismo #MeToo #feminismo #abusosexual https…",FALSE,0,NA,2018-01-01 20:15:31,FALSE,NA,"947924269052416001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cla260526",13,TRUE,FALSE,NA,NA
