"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"580","Tenias razón @MilanesaEpoxi yo soy macflai... El glamour de la obra...que se note!
Hola @MujerDemente LISTA PARA SA… https://t.co/4Dqg6H7Hkt",FALSE,0,NA,2018-01-06 00:19:15,TRUE,NA,"949435157756481536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JesssMcFly",0,FALSE,FALSE,NA,NA
"581","RT @xAnnihilare: Pablo Motos: haces mucho por el feminismo a interpretar mujeres fuertes
Jessica Chastain: bueno, para mí todas las mujeres…",FALSE,0,NA,2018-01-06 00:19:14,FALSE,NA,"949435150965837825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aymirayokese",354,TRUE,FALSE,NA,NA
"582","RT @CRomero1988: @VaalenttiinaM @Retwiteadero @jesseissues @Maarnare @LoPosmo @AngelesAlvaP @MireyaTimi @Jo_valdesR @AisaSanders1 Es lo que…",FALSE,0,NA,2018-01-06 00:19:02,FALSE,NA,"949435099573112838",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Retwiteadero",1,TRUE,FALSE,NA,NA
"583","Una aclaración muy pertinente, relacionada al artículo publicado por @ObservadorUY , ""Quién es quién en el feminism… https://t.co/PN1FONaIBf",FALSE,2,NA,2018-01-06 00:19:01,TRUE,NA,"949435096070795264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ClauOliveraMVD",1,FALSE,FALSE,NA,NA
"584","@CelopanYT Si el feminismo y el machismo son solamente odio y nada más estoy contigo Ludmila <ed><U+00A0><U+00BD><ed><U+00B8><U+00B6><ed><U+00A0><U+00BD><ed><U+00B8><U+00B6>",FALSE,1,"CelopanYT",2018-01-06 00:18:59,FALSE,"949311582189867008","949435086876717056","430916286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juanfe180304",0,FALSE,FALSE,NA,NA
"585","RT @claudiarrruiz: venid con vuestras mierdas a decirme que el feminismo no es necesario cnd hoy mi amiga volvía a casa, ha visto a un homb…",FALSE,0,NA,2018-01-06 00:18:44,FALSE,NA,"949435027712028672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","badgipsy_",1,TRUE,FALSE,NA,NA
"586","Gracias al feminismo aprendí aún más a valorar lo bueno aunque no sea en su totalidad. Mientras que sumes a la luch… https://t.co/isZmBz2nmC",FALSE,0,NA,2018-01-06 00:18:34,TRUE,NA,"949434986066739200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","feministloading",0,FALSE,FALSE,NA,NA
"587","RT @ale_mdd: Lo creáis o no el feminismo también lucha contra esto. Si los policías se rieron de él y no le hicieron caso es por los tan fa…",FALSE,0,NA,2018-01-06 00:18:34,FALSE,NA,"949434985450295297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Innmasendra",5974,TRUE,FALSE,NA,NA
"588","RT @xAnnihilare: Pablo Motos: haces mucho por el feminismo a interpretar mujeres fuertes
Jessica Chastain: bueno, para mí todas las mujeres…",FALSE,0,NA,2018-01-06 00:18:24,FALSE,NA,"949434942248898560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marvelousmers",354,TRUE,FALSE,NA,NA
"589","RT @ale_mdd: Lo creáis o no el feminismo también lucha contra esto. Si los policías se rieron de él y no le hicieron caso es por los tan fa…",FALSE,0,NA,2018-01-06 00:18:21,FALSE,NA,"949434930324533248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AliciaCosano",5974,TRUE,FALSE,NA,NA
"590","RT @AgustinLaje: Una chica de Gualeguaychú mató a balazos a su novio de 21 años. Fue presa? No, fue al área psiquiátrica de un hospital. Si…",FALSE,0,NA,2018-01-06 00:18:09,FALSE,NA,"949434877501431808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tefooo_Balbo",8566,TRUE,FALSE,NA,NA
"591","@A3E16D9DCE2E172 @diegomello333 @BrenRoots1928 @vanesavallejo3 @AgustinLaje Exacto que hagan su propia lucha el fem… https://t.co/x9yJ1YPvar",FALSE,0,"A3E16D9DCE2E172",2018-01-06 00:18:02,TRUE,"949434394879627265","949434850133643264","948715675194941440","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","minista_lafe",0,FALSE,FALSE,NA,NA
"592","RT @AgustinLaje: Tal como lo anticipé: a la asesina de Gualeguaychú la van a defender mancillando la memoria del asesinado, diciendo que és…",FALSE,0,NA,2018-01-06 00:17:59,FALSE,NA,"949434835889721350",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Krisargentia",1027,TRUE,FALSE,NA,NA
"593","Si eso que dices lo diría Marta Lamas, no es feminismo.",FALSE,0,NA,2018-01-06 00:17:57,FALSE,NA,"949434830424551424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","menstruadora",0,FALSE,FALSE,NA,NA
"594","RT @charoizquier: Madres y abuelas: heroínas silenciosas de los cuidados ""... ¿cómo sería una economía verdaderamente al servicio de las pe…",FALSE,0,NA,2018-01-06 00:17:56,FALSE,NA,"949434823181029378",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MariaaPichel",22,TRUE,FALSE,NA,NA
